session_id,iteration,timestamp,selected_users,algorithm,power_dBm,power_change_dB,success,overall_score,avg_delta_improvement,worst_user_improvement,users_satisfied_before,users_satisfied_after,satisfaction_improvement,power_waste_score,fairness_before,fairness_after,fairness_improvement,execution_time_s
20250924_030013,1,2025-09-24T03:00:16.543410,1;2;3,gradient_descent_adam_multi,25.0,5.0,False,0.6,4.094386535150076,3.3363508100354977,2,2,0,54.404938229695645,505.60874997664513,508.34644073284034,-2.7376907561952066,1.7865169048309326
20250924_030013,2,2025-09-24T03:00:18.392661,1;2;3,gradient_descent_adam_multi,28.0,3.0,False,0.6,5.033376704592816,5.736407283291189,2,2,0,58.939683499746145,505.60874997664513,535.2632097028438,-29.654459726198695,1.6802077293395996
20250924_030013,3,2025-09-24T03:00:20.440261,1;2;3,gradient_descent_adam_multi,33.0,5.0,False,0.6,6.72743622069071,6.619079963530819,2,3,1,60.360747946965866,505.60874997664513,484.6950241965775,20.913725780067637,1.7954065799713135
20250924_030013,4,2025-09-24T03:00:22.507318,2;3;4,gradient_descent_adam_multi,38.0,5.0,False,0.6,5.958653463895769,7.535022911750666,2,3,1,55.5334398947327,505.60874997664513,478.3895837287437,27.219166247901455,1.8766827583312988
20250924_030013,5,2025-09-24T03:00:24.638007,1;2;3,gradient_descent_adam_multi,43.0,5.0,False,0.6,4.722771063354969,4.464345836431585,2,2,0,57.16802069208619,505.60874997664513,503.02239946121256,2.5863505154325708,1.8630926609039307
20250924_030013,6,2025-09-24T03:00:28.775704,1;2;3,gradient_descent_adam_multi,45,5.0,False,0.6,5.8340757488897745,5.742788862590615,2,2,0,57.10761900915746,505.60874997664513,488.8499426018663,16.758807374778826,3.9524736404418945
20250924_030013,7,2025-09-24T03:00:31.089827,2;3;4;5,gradient_descent_adam_multi,45,5.0,False,0.6,5.444462937759142,3.6465106113128805,2,2,0,60.16483955011051,505.60874997664513,529.5110664040863,-23.90231642744112,2.041017770767212
20250924_030013,8,2025-09-24T03:00:33.548239,2;3;4;5,gradient_descent_adam_multi,45,5.0,True,0.6,4.3110010402805585,4.658338683474607,2,2,0,53.512547345598634,505.60874997664513,457.7907745050273,47.81797547161784,2.1975290775299072
20250924_030013,9,2025-09-24T03:00:35.603473,1;2;3,gradient_descent_adam_multi,45,5.0,False,0.6,4.009756839756396,2.6998071454042076,2,2,0,53.816870836256925,505.60874997664513,478.821186163727,26.78756381291811,1.7809584140777588
20250924_030013,10,2025-09-24T03:00:37.742679,1;2;3,gradient_descent_adam_multi,45,5.0,True,0.9,4.445416394260521,4.798805723529846,2,2,0,52.555782130061615,505.60874997664513,453.8619512482889,51.746798728356225,1.7741293907165527
